,Description,Rate,Occurrences,h
0,2 1 2 1 2 1 0 0 1 1,1.8003902798142748,26,4095215
1,2 1 0 3 1 2 2 0 1 1,42.935446507778586,7,46233
2,2 1 1 3 2 1 0 0 1 1,0.03332397127982113,4,34038723
3,2 1 1 2 1 3 1 0 1 1,14.754232929939997,5,96100
4,2 1 2 3 1 3 1 0 1 0,12.185534591194969,31,212
5,2 1 1 3 2 1 0 0 1 0,0.009023044856563663,18,166241
6,2 1 2 2 2 2 0 0 1 0,13.310185185185185,23,144
7,2 1 1 2 2 1 0 0 1 1,2.3546476322710785,23,2769950
8,2 1 1 2 1 1 3 0 1 1,26.72300131933705,46,488138
9,2 1 2 3 1 4 0 0 1 0,14.227642276422765,7,41
10,2 1 0 4 2 1 0 0 1 0,0.0055658214039227905,3,44917
11,2 2 1 1 2 1 1 0 1 0,10.416666666666666,1,8
12,2 1 3 2 2 2 0 0 1 0,17.857142857142858,3,14
13,2 1 1 2 2 0 0 0 1 1,283.25263961103417,14,14016
14,2 1 1 3 2 2 0 0 1 0,18.034825870646767,29,134
15,2 1 1 3 1 3 2 0 1 0,4.746835443037974,9,158
16,2 1 3 1 2 2 0 0 1 0,13.636363636363635,9,55
17,2 1 0 3 2 1 0 0 1 1,4.65628422871019,7,426313
18,2 1 0 4 2 2 0 0 1 0,25.641025641025642,4,13
19,2 1 0 3 1 2 1 0 1 1,400.70572172552255,13,9200
20,2 1 3 1 2 1 0 0 1 0,0.05452732597993394,7,10698
21,2 1 0 3 1 0 3 0 1 1,356.2517046651341,1,796
22,2 2 0 1 2 0 1 0 1 0,0.033280085197018104,4,10016
23,2 2 0 0 2 1 0 0 1 1,3.0375478744330553,10,933570
24,2 1 1 4 1 3 0 0 1 0,41.666666666666664,1,2
25,2 1 2 1 1 2 2 0 1 1,7.132299981360441,11,437354
26,2 2 0 0 2 0 0 0 1 1,443.7814662182265,8,5112
27,2 1 2 2 2 1 0 0 1 0,0.020187032859442736,16,66049
28,2 1 1 3 1 2 1 0 1 1,10.956070224673509,28,724725
29,2 1 1 2 1 3 2 0 1 0,10.416666666666666,1,8
30,2 1 1 3 1 2 3 0 1 0,5.208333333333333,17,272
31,2 1 0 2 1 1 3 0 1 1,103.38182898776768,1,2743
32,2 1 3 1 2 1 0 0 1 1,0.21411649490875714,5,6622011
33,2 1 0 3 1 1 2 0 1 1,379.62029037944677,9,6723
34,2 1 2 2 1 3 2 0 1 0,6.6401062416998675,20,251
35,2 1 2 2 1 2 3 0 1 0,8.442265795206971,31,306
36,2 1 1 2 1 2 2 0 1 1,16.20441772082795,17,297499
37,2 1 1 2 1 2 3 0 1 0,6.410256410256411,1,13
38,2 1 3 2 2 1 0 0 1 0,0.5813953488372093,3,430
39,2 1 1 3 1 2 2 0 1 0,0.0673455094014331,15,18561
40,2 1 1 3 1 2 2 0 1 1,0.5449063665078443,7,3642891
41,2 1 2 1 1 2 1 0 1 1,42.52598560209957,13,86688
42,2 1 2 3 1 2 3 0 1 0,23.14814814814815,5,18
43,2 1 2 3 2 1 0 0 1 0,0.9025270758122743,15,1385
44,2 1 0 2 1 1 2 0 1 1,4407.922646323007,3,193
45,2 1 3 1 1 3 2 0 1 0,7.1138211382113825,14,164
46,2 1 1 3 1 1 3 0 1 1,0.1837613941326541,4,6172708
47,2 1 1 4 1 3 1 0 1 0,20.2020202020202,8,33
48,2 1 2 1 1 3 2 0 1 0,8.333333333333334,1,10
49,2 1 1 3 2 0 0 0 1 1,29.143657271278872,17,165415
50,2 1 1 2 1 2 1 0 1 1,115.01390079972154,24,59174
51,2 1 1 4 2 1 0 0 1 0,3.077651515151515,13,352
52,2 1 0 4 1 1 2 0 1 1,10.5756827371316,4,107256
53,2 1 1 1 1 2 0 0 1 1,2132.1530594995997,1,133
54,2 1 0 3 1 1 3 0 1 1,71.188208933693,19,75686
55,2 1 2 1 2 0 0 0 1 1,194.82132676358106,14,20378
56,2 1 2 2 2 0 0 0 1 1,31.239946781183107,11,99851
57,2 1 2 2 1 3 1 0 1 0,0.16508188061278395,20,10096
58,2 1 2 2 2 1 1 0 1 0,59.52380952380952,5,7
59,2 1 1 2 2 0 1 0 1 1,6.053180146506148,2,93695
60,2 2 0 1 2 1 1 0 1 0,15.765765765765765,7,37
61,2 1 1 3 1 4 0 0 1 0,0.07773631840796019,2,2144
62,2 1 1 2 1 1 2 0 1 1,118.97329880376591,17,40520
63,2 1 0 3 1 0 4 0 1 1,35.524755015777856,2,15965
64,2 1 2 3 2 2 0 0 1 0,47.61904761904761,4,7
65,2 1 1 4 2 1 1 0 1 0,83.33333333333333,1,1
66,2 1 1 3 1 3 0 0 1 1,4.624728982531007,5,306587
67,2 1 1 4 2 2 0 0 1 0,7.575757575757575,1,11
68,2 1 2 2 1 4 0 0 1 0,0.17534630896019637,4,1901
69,2 1 1 3 1 1 4 0 1 0,12.820512820512821,2,13
70,2 1 2 2 1 3 0 0 1 1,4.4776863923425605,3,189993
71,2 1 1 3 1 3 1 0 1 1,0.9576674898254433,4,1184446
72,2 1 2 3 1 3 2 0 1 0,19.6078431372549,4,17
73,2 1 0 3 1 3 0 0 1 1,206.28735953936476,3,4124
74,2 1 4 0 1 4 1 0 1 0,27.777777777777775,1,3
75,2 1 0 4 2 0 0 0 1 1,39.93470735297095,5,35505
76,2 1 0 5 2 1 0 0 1 0,13.333333333333334,4,25
77,2 1 2 2 1 2 2 0 1 1,0.5304835676936385,4,2138248
78,2 1 3 0 2 1 0 0 1 1,1.1210697577877005,7,1770661
79,2 1 1 3 1 3 1 0 1 0,0.07700007700007701,12,12987
80,2 1 2 2 1 2 2 0 1 0,0.04905695223584274,17,28878
81,2 1 1 1 1 1 3 0 1 1,23.755087490131665,2,23875
82,2 1 2 1 2 1 0 0 1 0,0.025081514923501382,2,6645
83,2 1 1 3 2 1 1 0 1 0,10.869565217391303,3,23
84,2 1 1 2 1 3 0 0 1 1,42.17532729703614,4,26895
85,2 1 1 4 1 2 3 0 1 0,83.33333333333333,1,1
86,2 1 2 1 1 2 3 0 1 0,20.833333333333332,4,16
87,2 1 1 1 2 1 0 0 1 1,2.1145529831660297,1,134107
88,2 1 1 4 1 2 1 0 1 0,18.51851851851852,2,9
89,2 1 1 1 1 1 2 0 1 1,426.4306118999199,3,1995
90,2 1 4 0 2 0 1 0 1 1,9.858381954230722,1,28765
91,2 1 2 2 1 4 1 0 1 0,3.7878787878787876,3,66
92,2 1 2 1 1 2 2 0 1 0,0.02560163850486431,1,3255
93,2 1 3 1 1 3 1 0 1 0,0.10955302366345311,6,4564
94,2 1 2 3 1 3 0 0 1 0,13.888888888888888,1,6
95,2 1 0 3 1 1 1 0 1 1,2465.8813644647544,3,345
96,2 1 2 0 2 1 0 0 1 1,5.05596357322838,2,112175
97,2 1 0 4 1 1 1 0 1 1,57.115076921137316,1,4965
98,2 2 0 0 2 0 1 0 1 1,9.69922895349888,1,29237
99,2 2 0 1 2 0 2 0 1 0,41.666666666666664,1,2
100,2 1 1 3 1 2 0 0 1 1,13.520375556090718,1,20974
101,2 1 0 3 1 3 1 0 1 1,18.75753121533581,1,15118
102,2 1 1 3 1 4 1 0 1 0,0.7374631268436578,1,113
103,2 1 0 3 2 0 1 0 1 1,39.51457631344621,2,14353
104,2 1 3 1 2 0 0 0 1 1,25.359318888137246,3,33547
105,2 1 0 4 1 2 1 0 1 1,7.2554684571491705,4,156338
106,2 1 1 3 1 1 3 0 1 0,0.017023015116437425,3,14686
107,2 1 1 4 1 2 2 0 1 0,17.241379310344826,6,29
108,2 1 3 0 2 0 0 0 1 1,99.10636891196881,3,8584
109,2 1 3 0 1 3 1 0 1 0,0.06012506012506012,1,1386
110,2 1 2 3 1 4 1 0 1 0,6.410256410256411,2,26
111,2 1 1 2 1 4 1 0 1 0,83.33333333333333,1,1
112,2 1 1 1 1 2 1 0 1 1,104.10292104017869,1,2724
113,2 1 3 1 2 1 1 0 1 0,27.777777777777775,2,6
114,2 1 0 3 2 0 0 0 1 1,121.9158886128318,1,2326
115,2 1 3 0 2 0 1 0 1 1,4.72005787235884,1,60079
116,2 1 3 1 1 4 1 0 1 0,6.944444444444445,3,36
117,2 1 0 3 2 2 0 0 1 0,41.666666666666664,1,2
118,2 1 2 1 1 3 1 0 1 0,0.06205013651030032,1,1343
119,2 1 3 2 1 4 0 0 1 0,5.555555555555555,2,30
120,2 1 3 0 1 3 2 0 1 0,9.25925925925926,1,9
121,2 1 1 2 2 2 0 0 1 0,27.777777777777775,1,3
122,2 1 2 1 1 3 0 0 1 1,7.553978607177591,1,37540
123,2 1 0 4 1 3 0 0 1 1,4.010243617346835,1,70713
124,2 1 0 4 2 1 1 0 1 0,13.888888888888888,1,6
125,2 1 3 2 1 3 2 0 1 0,5.208333333333333,1,16
