,Description,Rate,Occurrences,h
0,2 1 1 3 1 3 1 0 1 0,0.024300882308957678,13,44580
1,2 1 2 1 2 1 0 0 1 1,1.4924002066224695,13,2399697
2,2 1 1 3 2 2 0 0 1 0,25.297619047619047,17,56
3,2 1 1 2 1 1 3 0 1 1,16.72135803759606,19,313026
4,2 1 2 2 1 2 3 0 1 0,4.303599374021909,11,213
5,2 1 1 2 1 2 1 0 1 1,116.37353627241346,8,18938
6,2 1 0 3 1 1 3 0 1 1,41.391601598788604,12,79867
7,2 1 1 3 2 1 0 0 1 1,0.005529032582273313,1,49825218
8,2 1 2 3 2 2 0 0 1 0,17.857142857142858,3,14
9,2 1 1 4 1 2 2 0 1 0,7.575757575757575,1,11
10,2 1 3 1 2 1 0 0 1 0,0.009031955056991637,2,18453
11,2 1 2 2 2 0 0 0 1 1,53.83515472150214,5,25586
12,2 1 2 3 1 3 1 0 1 0,13.72549019607843,28,170
13,2 1 2 1 2 0 0 0 1 1,272.0573313656634,5,5063
14,2 1 3 0 2 1 0 0 1 1,4.74389767340039,2,116143
15,2 1 0 3 1 1 2 0 1 1,708.7956785785697,6,2332
16,2 1 0 4 2 2 0 0 1 0,7.575757575757575,1,11
17,2 1 0 3 2 1 0 0 1 1,5.029657771572619,6,328633
18,2 1 1 2 2 1 0 0 1 1,1.4378680805175372,7,1341150
19,2 1 2 2 2 2 0 0 1 0,9.408602150537634,7,62
20,2 1 1 3 1 2 2 0 1 0,0.024945120734384357,6,20044
21,2 1 2 2 1 3 1 0 1 0,0.04624491305956345,4,7208
22,2 1 2 1 1 3 1 0 1 1,4.483517572763342,2,122888
23,2 1 1 3 1 4 1 0 1 0,5.05050505050505,4,66
24,2 1 0 3 1 2 1 0 1 1,340.189248877341,5,4049
25,2 1 1 3 1 2 3 0 1 0,6.5359477124183005,8,102
26,2 1 2 1 1 2 2 0 1 1,8.128374820483739,5,169459
27,2 1 1 3 2 1 0 0 1 0,0.0014181560850950378,4,235047
28,2 1 1 2 1 2 2 0 1 1,17.032598846350364,6,97044
29,2 1 1 3 1 3 2 0 1 0,1.6556291390728477,3,151
30,2 1 2 2 1 3 2 0 1 0,5.303030303030303,7,110
31,2 1 1 3 1 2 1 0 1 1,5.861076618070757,12,564030
32,2 1 2 1 1 2 3 0 1 0,9.25925925925926,2,18
33,2 1 1 1 1 1 3 0 1 1,147.12163083624608,2,3745
34,2 1 1 2 1 1 2 0 1 1,53.95324201740517,2,10212
35,2 1 0 4 2 1 0 0 1 0,0.005460542122621934,1,15261
36,2 1 3 1 2 2 0 0 1 0,18.51851851851852,2,9
37,2 1 1 3 1 3 0 0 1 1,31.412229616975,3,26310
38,2 1 1 3 1 1 3 0 1 0,0.010088781275221953,1,8260
39,2 1 3 1 1 3 1 0 1 0,0.05699954400364797,2,2924
40,2 1 0 3 1 3 1 0 1 1,15.054661661340553,1,18299
41,2 1 3 1 2 1 0 0 1 1,0.023392050415825146,1,11776875
42,2 1 2 3 2 1 0 0 1 0,0.40950040950040945,4,814
43,2 1 1 3 1 2 2 0 1 1,0.27394740432877046,3,3016841
44,2 1 3 1 1 3 2 0 1 0,8.333333333333334,4,40
45,2 1 1 3 2 0 0 0 1 1,14.231447952518186,4,77430
46,2 1 1 4 1 3 1 0 1 0,33.333333333333336,4,10
47,2 1 2 2 1 2 2 0 1 0,0.008370162046337216,1,9956
48,2 1 2 2 1 4 1 0 1 0,5.208333333333333,1,16
49,2 1 1 3 1 1 3 0 1 1,0.022396231909978973,1,12300518
50,2 1 0 4 1 1 2 0 1 1,12.804334359324692,1,21515
51,2 1 1 4 2 1 0 0 1 0,0.9578544061302682,1,87
52,2 1 1 2 1 3 1 0 1 1,8.198599876221918,2,67203
53,2 1 2 3 1 4 0 0 1 0,4.385964912280701,1,19
54,2 1 3 2 1 4 0 0 1 0,11.904761904761903,1,7
55,2 1 2 1 1 2 1 0 1 1,9.466196609884914,1,29102
56,2 1 0 3 1 2 2 0 1 1,38.05745815171359,3,21716
57,2 1 2 2 2 1 0 0 1 0,0.002089392571791529,1,39884
58,2 1 3 2 1 3 2 0 1 0,4.166666666666667,1,20
59,2 1 2 2 2 1 0 0 1 1,0.02167162495468742,1,12711795
60,2 1 2 3 1 2 3 0 1 0,20.833333333333332,1,4
61,2 2 0 0 2 1 0 0 1 1,0.816978807060708,1,337200
62,2 1 1 3 2 1 1 0 1 0,83.33333333333333,1,1
63,2 1 3 1 2 0 0 0 1 1,16.705187904970636,1,16491
